Track,Artist,Listeners,URL,release_date
"Good Luck, Babe!",Chappell Roan,1683677,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",2023-01-01
BIRDS OF A FEATHER,Billie Eilish,1785566,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,2023-01-01
Party 4 U,Charli XCX,767993,https://www.last.fm/music/Charli+XCX/_/Party+4+U,2023-01-01
See You Again (feat. Kali Uchis),"Tyler, the Creator",2112467,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)",2023-01-01
back to friends,Sombr,556017,https://www.last.fm/music/Sombr/_/back+to+friends,2023-01-01
No One Noticed,The Marías,986322,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,2023-01-01
Manchild,Sabrina Carpenter,409404,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,2023-01-01
espresso,Sabrina Carpenter,1774022,https://www.last.fm/music/Sabrina+Carpenter/_/espresso,2023-01-01
undressed,Sombr,483892,https://www.last.fm/music/Sombr/_/undressed,2023-01-01
Creep,Radiohead,3358947,https://www.last.fm/music/Radiohead/_/Creep,2023-01-01
luther (with SZA),Kendrick Lamar,1168485,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA),2023-01-01
guess featuring billie eilish,Charli XCX,1262249,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish,2023-01-01
Von Dutch,Charli XCX,1103764,https://www.last.fm/music/Charli+XCX/_/Von+Dutch,2023-01-01
505,Arctic Monkeys,2467164,https://www.last.fm/music/Arctic+Monkeys/_/505,2023-01-01
Love Me Not,Ravyn Lenae,607823,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not,2023-01-01
tAsTe,Sabrina Carpenter,1221191,https://www.last.fm/music/Sabrina+Carpenter/_/tAsTe,2023-01-01
Abracadabra,Lady Gaga,843486,https://www.last.fm/music/Lady+Gaga/_/Abracadabra,2023-01-01
Pink + White,Frank Ocean,2064231,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,2023-01-01
Let Down,Radiohead,1803069,https://www.last.fm/music/Radiohead/_/Let+Down,2023-01-01
No Surprises,Radiohead,2777643,https://www.last.fm/music/Radiohead/_/No+Surprises,2023-01-01
Like Him (feat. Lola Young),"Tyler, the Creator",1054074,"https://www.last.fm/music/Tyler,+the+Creator/_/Like+Him+(feat.+Lola+Young)",2023-01-01
Wildflower,Billie Eilish,1232070,https://www.last.fm/music/Billie+Eilish/_/Wildflower,2023-01-01
GNARLY,Katseye,364846,https://www.last.fm/music/Katseye/_/GNARLY,2023-01-01
Duvet,bôa,1523885,https://www.last.fm/music/b%C3%B4a/_/Duvet,2023-01-01
Ribs,Lorde,1510339,https://www.last.fm/music/Lorde/_/Ribs,2023-01-01
All The Stars (with SZA),Kendrick Lamar,1752589,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA),2023-01-01
Feel Good Inc.,Gorillaz,3131148,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.,2023-01-01
Lovers Rock,TV Girl,1732794,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,2023-01-01
Die With A Smile,Lady Gaga,1399929,https://www.last.fm/music/Lady+Gaga/_/Die+With+A+Smile,2023-01-01
The Less I Know the Better,Tame Impala,2215050,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,2023-01-01
Diet Pepsi,Addison Rae,715091,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi,2023-01-01
Pink Pony Club,Chappell Roan,1154862,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club,2023-01-01
Fame Is A Gun,Addison Rae,298850,https://www.last.fm/music/Addison+Rae/_/Fame+Is+A+Gun,2023-01-01
Dreams - 2004 Remaster,Fleetwood Mac,1504832,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,2023-01-01
Headlock,Imogen Heap,1145540,https://www.last.fm/music/Imogen+Heap/_/Headlock,2023-01-01
Iris,The Goo Goo Dolls,1378303,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris,2023-01-01
illegal,pinkpantheress,334099,https://www.last.fm/music/pinkpantheress/_/illegal,2023-01-01
"Girl, so confusing featuring lorde",Charli XCX,744055,"https://www.last.fm/music/Charli+XCX/_/Girl,+so+confusing+featuring+lorde",2023-01-01
Sweater Weather,The Neighbourhood,2460635,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,2023-01-01
Timeless (Feat Playboi Carti),The Weeknd,627498,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti),2023-01-01
Juno,Sabrina Carpenter,860475,https://www.last.fm/music/Sabrina+Carpenter/_/Juno,2023-01-01
Please Please Please,Sabrina Carpenter,1409480,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please,2023-01-01
Poker Face,Lady Gaga,2994969,https://www.last.fm/music/Lady+Gaga/_/Poker+Face,2023-01-01
Bed Chem,Sabrina Carpenter,992957,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem,2023-01-01
Are We Still Friends?,"Tyler, the Creator",1458333,"https://www.last.fm/music/Tyler,+the+Creator/_/Are+We+Still+Friends%3F",2023-01-01
Judas,Lady Gaga,1545254,https://www.last.fm/music/Lady+Gaga/_/Judas,2023-01-01
360,Charli XCX,1342049,https://www.last.fm/music/Charli+XCX/_/360,2023-01-01
HOT TO GO!,Chappell Roan,1308173,https://www.last.fm/music/Chappell+Roan/_/HOT+TO+GO%21,2023-01-01
Busy Woman,Sabrina Carpenter,589444,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman,2023-01-01
What Was That,Lorde,440051,https://www.last.fm/music/Lorde/_/What+Was+That,2023-01-01
Bags,Clairo,1261272,https://www.last.fm/music/Clairo/_/Bags,2023-01-01
Juna,Clairo,906166,https://www.last.fm/music/Clairo/_/Juna,2023-01-01
CHIHIRO,Billie Eilish,1227089,https://www.last.fm/music/Billie+Eilish/_/CHIHIRO,2023-01-01
All I Need,Radiohead,1920258,https://www.last.fm/music/Radiohead/_/All+I+Need,2023-01-01
sports car,Tate McRae,565529,https://www.last.fm/music/Tate+McRae/_/sports+car,2023-01-01
Money Trees,Kendrick Lamar,1797208,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees,2023-01-01
Just Dance,Lady Gaga,2419298,https://www.last.fm/music/Lady+Gaga/_/Just+Dance,2023-01-01
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,1266954,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster,2023-01-01
Headphones On,Addison Rae,362108,https://www.last.fm/music/Addison+Rae/_/Headphones+On,2023-01-01
Sailor Song,Gigi Perez,894770,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song,2023-01-01
Red Wine Supernova,Chappell Roan,1083379,https://www.last.fm/music/Chappell+Roan/_/Red+Wine+Supernova,2023-01-01
Linger,The Cranberries,2017359,https://www.last.fm/music/The+Cranberries/_/Linger,2023-01-01
