Track,Artist,Listeners,URL
"Good Luck, Babe!",Chappell Roan,1683677,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
BIRDS OF A FEATHER,Billie Eilish,1785566,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Party 4 U,Charli XCX,767993,https://www.last.fm/music/Charli+XCX/_/Party+4+U
See You Again (feat. Kali Uchis),"Tyler, the Creator",2112467,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
back to friends,Sombr,556017,https://www.last.fm/music/Sombr/_/back+to+friends
No One Noticed,The Marías,986322,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
Manchild,Sabrina Carpenter,409404,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
espresso,Sabrina Carpenter,1774022,https://www.last.fm/music/Sabrina+Carpenter/_/espresso
undressed,Sombr,483892,https://www.last.fm/music/Sombr/_/undressed
Creep,Radiohead,3358947,https://www.last.fm/music/Radiohead/_/Creep
luther (with SZA),Kendrick Lamar,1168485,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
guess featuring billie eilish,Charli XCX,1262249,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish
Von Dutch,Charli XCX,1103764,https://www.last.fm/music/Charli+XCX/_/Von+Dutch
505,Arctic Monkeys,2467164,https://www.last.fm/music/Arctic+Monkeys/_/505
Love Me Not,Ravyn Lenae,607823,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
tAsTe,Sabrina Carpenter,1221191,https://www.last.fm/music/Sabrina+Carpenter/_/tAsTe
Abracadabra,Lady Gaga,843486,https://www.last.fm/music/Lady+Gaga/_/Abracadabra
Pink + White,Frank Ocean,2064231,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
Let Down,Radiohead,1803069,https://www.last.fm/music/Radiohead/_/Let+Down
No Surprises,Radiohead,2777643,https://www.last.fm/music/Radiohead/_/No+Surprises
Like Him (feat. Lola Young),"Tyler, the Creator",1054074,"https://www.last.fm/music/Tyler,+the+Creator/_/Like+Him+(feat.+Lola+Young)"
Wildflower,Billie Eilish,1232070,https://www.last.fm/music/Billie+Eilish/_/Wildflower
GNARLY,Katseye,364846,https://www.last.fm/music/Katseye/_/GNARLY
Duvet,bôa,1523885,https://www.last.fm/music/b%C3%B4a/_/Duvet
Ribs,Lorde,1510339,https://www.last.fm/music/Lorde/_/Ribs
All The Stars (with SZA),Kendrick Lamar,1752589,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA)
Feel Good Inc.,Gorillaz,3131148,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Lovers Rock,TV Girl,1732794,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Die With A Smile,Lady Gaga,1399929,https://www.last.fm/music/Lady+Gaga/_/Die+With+A+Smile
The Less I Know the Better,Tame Impala,2215050,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Diet Pepsi,Addison Rae,715091,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi
Pink Pony Club,Chappell Roan,1154862,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club
Fame Is A Gun,Addison Rae,298850,https://www.last.fm/music/Addison+Rae/_/Fame+Is+A+Gun
Dreams - 2004 Remaster,Fleetwood Mac,1504832,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
Headlock,Imogen Heap,1145540,https://www.last.fm/music/Imogen+Heap/_/Headlock
Iris,The Goo Goo Dolls,1378303,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
illegal,pinkpantheress,334099,https://www.last.fm/music/pinkpantheress/_/illegal
"Girl, so confusing featuring lorde",Charli XCX,744055,"https://www.last.fm/music/Charli+XCX/_/Girl,+so+confusing+featuring+lorde"
Sweater Weather,The Neighbourhood,2460635,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Timeless (Feat Playboi Carti),The Weeknd,627498,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Juno,Sabrina Carpenter,860475,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Please Please Please,Sabrina Carpenter,1409480,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Poker Face,Lady Gaga,2994969,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
Bed Chem,Sabrina Carpenter,992957,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
Are We Still Friends?,"Tyler, the Creator",1458333,"https://www.last.fm/music/Tyler,+the+Creator/_/Are+We+Still+Friends%3F"
